Name, Time(s), Memory(MB)
name-combine_short.sl, 0.001184, 4.84375
phone-3.sl, 0.03429, 7.55859375
phone-3-long-repeat.sl, 0.035249, 8.640625
phone-3_short.sl, 0.034491, 7.40234375
phone-3-long.sl, 0.034612, 7.60546875
count-specific-characters-in-a-cell.sl, 0.679899, 53.125
name-combine-3.sl, 0.003066, 4.9296875
name-combine-3-long-repeat.sl, 0.003085, 5.74609375
name-combine-3_short.sl, 0.003095, 4.6640625
name-combine-3-long.sl, 0.003076, 4.921875
stackoverflow5.sl, 0.023431, 6.4765625
get-middle-name-from-full-name.sl, timeout, skipped
cell-equals-one-of-many-things.sl, timeout, skipped
phone-7-long.sl, 0.006801, 5.55859375
phone-7.sl, 0.007091, 5.15625
phone-7-short.sl, 0.006728, 5.50390625
phone-7-long-repeat.sl, 0.00708, 6.52734375
name-combine-2-long.sl, 0.003382, 5.0
name-combine-2.sl, 0.003291, 4.6171875
name-combine-2_short.sl, 0.00327, 4.62890625
name-combine-2-long-repeat.sl, 0.00344, 5.875
37534494.sl, 0.043893, 9.41796875
strip-html-from-text-or-numbers.sl, 0.061622, 9.8359375
stackoverflow1.sl, 0.217017, 22.59375
cell-contains-one-of-many-things.sl, 0.022972, 8.8125
remove-text-by-position.sl, 0.116275, 13.875
phone.sl, 0.002798, 4.73046875
phone-long-repeat.sl, 0.00298, 6.4765625
phone_short.sl, 0.002813, 4.671875
phone-long.sl, 0.002835, 5.03515625
most-frequently-occurring-text.sl, 0.351116, 25.34375
split-numbers-from-units-of-measure_1.sl, 0.100754, 15.4609375
remove-unwanted-characters.sl, timeout, skipped
38871714.sl, 0.07271, 7.8671875
31753108.sl, timeout, skipped
phone-9.sl, 0.434947, 37.6015625
phone-9-long.sl, 0.432663, 37.9765625
phone-9-short.sl, 0.42667, 37.765625
phone-9-long-repeat.sl, 0.429571, 38.6328125
35744094.sl, 105.650334, 6298.7421875
join-cells-with-comma.sl, 0.621228, 59.73046875
cell-contains-specific-text.sl, 0.016828, 7.6015625
phone-8-long.sl, 0.028568, 7.59765625
phone-8_short.sl, 0.028435, 7.40234375
phone-8.sl, 0.028553, 7.66796875
phone-8-long-repeat.sl, 0.028818, 8.34765625
extract-text-between-parentheses.sl, 0.005838, 5.2109375
change-negative-numbers-to-positive.sl, 0.061191, 10.609375
remove-characters-from-left.sl, 0.004907, 5.21484375
34801680.sl, 0.013516, 5.84765625
phone-4-long.sl, 0.003385, 5.015625
phone-4.sl, 0.003409, 5.00390625
phone-4-long-repeat.sl, 0.003474, 6.58984375
phone-4_short.sl, 0.003431, 4.953125
position-of-2nd-3rd-etc-instance-of-character.sl, 0.02033, 7.25390625
create-email-address-with-name-and-domain.sl, 0.024279, 6.76953125
split-text-and-numbers.sl, 0.014412, 6.1640625
cell-contains-all-of-many-things.sl, 0.023589, 9.0859375
get-first-word.sl, 0.001937, 4.59765625
phone-2_short.sl, 0.023908, 8.078125
phone-2-long-repeat.sl, 0.024075, 8.9453125
phone-2.sl, 0.024032, 8.265625
phone-2-long.sl, 0.024, 8.3984375
join-first-and-last-name.sl, 0.002578, 4.625
19558979.sl, 0.024301, 7.296875
clean-and-reformat-telephone-numbers.sl, 35.083297, 1967.546875
extract-nth-word-from-text-string.sl, timeout, skipped
35016216.sl, 0.084645, 11.73828125
exceljet2.sl, 0.2612, 29.6484375
38664547.sl, 5.545577, 245.96875
remove-characters-from-right.sl, 0.002184, 4.66015625
count-total-words-in-a-cell.sl, timeout, skipped
stackoverflow10.sl, 5.437097, 405.578125
create-email-address-from-name.sl, 0.007469, 5.35546875
univ_5.sl, timeout, skipped
univ_5_short.sl, timeout, skipped
univ_5-long.sl, timeout, skipped
univ_5-long-repeat.sl, timeout, skipped
remove-leading-and-trailing-spaces-from-text.sl, timeout, skipped
phone-1-long-repeat.sl, 0.003955, 6.58984375
phone-1-long.sl, 0.003686, 5.0703125
phone-1.sl, 0.00366, 5.0234375
phone-1_short.sl, 0.003623, 5.3359375
